time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1749659410224000000,1.399,45,1.5,1.7640793323516846,82.5,0,0,250.3075727972423,19.4354147,50.0227061
1749659412024485600,3.199485595703125,180,0.4868501126766205,1.6263827085494995,24,7.041833400726318,273.45159912109375,250.49856325762713,19.4355932,50.0233602
1749659413025657600,4.20065771484375,180,0.34135115146636963,1.625411868095398,14,6.828425884246826,261.98748779296875,250.8846446235253,19.4353767,50.023339
1749659414053039600,5.22803955078125,180,0.6665478348731995,1.6238890886306763,20,7.382963180541992,238.60020446777344,251.23141309289412,19.4352827,50.0233121
1749659416074221800,7.249221923828125,180,0.7600617408752441,1.6186081171035767,16.5,7.993419647216797,219.55494689941406,251.4696267574521,19.4351771,50.0231681
1749659417051140600,8.226140625,10,0.20587486028671265,1.6177737712860107,12,9.505294799804688,240.7244415283203,252.13226126171068,19.4350936,50.0231092
1749659418061591600,9.236591552734374,10,0.18533073365688324,1.6256308555603027,12.5,10.701367378234863,243.97537231445312,252.8055006405812,19.4349694,50.0230693
1749659419523083800,10.698083740234376,10,0.17492170631885529,1.618038535118103,5.5,12.343777656555176,242.15138244628906,253.4440347175014,19.4347563,50.0230053
1749659420524477000,11.699476806640625,10,0.12188278138637543,1.6249030828475952,5.199999809265137,13.495404243469238,242.10362243652344,253.89020516230102,19.4345919,50.0229515
1749659421530066400,12.70506640625,10,0.09278445690870285,1.6194874048233032,4.800000190734863,14.272298812866211,241.13099670410156,254.5111202789573,19.4344149,50.0228937
1749659422532378600,13.707378662109376,10,0.092843197286129,1.6187515258789062,4.400000095367432,14.715877532958984,239.16476440429688,255.72635235530203,19.4342335,50.0228302
1749659423538647600,14.7136474609375,10,0.14452502131462097,1.6252830028533936,4,15.427959442138672,237.18588256835938,255.4922805447449,19.434053,50.0227597
1749659424528426500,15.703426513671875,10,0.16836555302143097,1.6201761960983276,4,16.06110191345215,232.35397338867188,255.50048313710886,19.4338707,50.0226803
1749659425530337300,16.705337158203125,10,0.15652680397033691,1.6192928552627563,4,16.759273529052734,228.2921905517578,256.22240413374027,19.4336911,50.0225873
1749659426534728200,17.709728271484376,10,0.11878631263971329,1.6291537284851074,4,17.230051040649414,226.15394592285156,256.66216597288314,19.4335144,50.0224819
1749659427519761400,18.694761474609376,10,0.09685102850198746,1.620042324066162,4,17.721477508544922,223.2156219482422,256.7785581512289,19.4333409,50.0223695
1749659428520595500,19.695595458984375,10,0.09553565084934235,1.6206294298171997,4,18.156341552734375,219.29957580566406,257.0700515990695,19.4331718,50.0222485
1749659429524540000,20.699539794921876,10,0.10660798847675323,1.623345136642456,4,18.674833297729492,218.074951171875,258.03650597162135,19.4330109,50.0221187
1749659430523057200,21.69805712890625,10,0.09649817645549774,1.615458607673645,4,19.093097686767578,217.98130798339844,258.68072343351673,19.4328489,50.0219823
1749659431524216800,22.699216796875,1,0.06475076079368591,1.6170530319213867,4,19.305282592773438,217.9998321533203,260.20010369971453,19.4326848,50.0218461
1749659432523153200,23.698153076171874,1,0.10613701492547989,1.6296064853668213,4.400000095367432,19.080904006958008,217.00132751464844,261.0053416604745,19.4325199,50.021707
1749659433527112200,24.7021123046875,1,0.06814602017402649,1.6260865926742554,4.800000190734863,18.942039489746094,217.00010681152344,261.587501783143,19.4323601,50.0215699
1749659434524924200,25.699924072265624,1,0.06334896385669708,1.6231632232666016,4.800000190734863,18.947301864624023,217,261.94782637485423,19.4321967,50.0214353
1749659435515849700,26.690849609375,1,0.06340506672859192,1.6317110061645508,4.665999889373779,19.017776489257812,217.99887084960938,261.47450368942924,19.4320339,50.0212996
1749659436516797400,27.69179736328125,1,0.06335315108299255,1.628624439239502,4.665999889373779,19.1129207611084,217.99993896484375,260.71340426653694,19.4318689,50.0211637
1749659437521614600,28.696614501953125,1,0.06248696520924568,1.62467622756958,4.665999889373779,19.15822410583496,217.0010528564453,260.7613112177524,19.4317035,50.0210272
1749659438527076600,29.70207666015625,1,0.06156173720955849,1.6300764083862305,4.333000183105469,19.236135482788086,216.99993896484375,260.8292564250638,19.4315383,50.0208898
1749659439532182300,30.707182373046876,1,0.06137881800532341,1.6259515285491943,4,19.323278427124023,217.9988555908203,261.77272120467194,19.4313721,50.0207525
1749659440528665900,31.703665771484374,1,0.061881162226200104,1.6230928897857666,4,19.366254806518555,217.99996948242188,261.9688727049946,19.4312036,50.020616
1749659441525705200,32.70070532226563,1,0.060757286846637726,1.6220269203186035,4,19.40387535095215,217.99996948242188,262.10959284172054,19.431034,50.0204805
1749659442533942000,33.70894189453125,1,0.060674138367176056,1.6269972324371338,4,19.39252471923828,218.00001525878906,263.34845583171636,19.4308631,50.020344
1749659443521697500,34.69669750976563,1,0.06223651394248009,1.6180260181427002,4,19.452768325805664,217.0010986328125,263.4434241068155,19.4306956,50.0202068
1749659444523856400,35.6988564453125,1,0.04436608776450157,1.6198738813400269,4,19.508718490600586,216.9999542236328,263.53071792984815,19.4305297,50.0200668
1749659445524003000,36.699003173828125,1,0.04576706886291504,1.6220730543136597,4,19.565147399902344,216.9999542236328,261.5650836945001,19.4303636,50.0199264
1749659446524252400,37.69925244140625,1,0.06520825624465942,1.6090171337127686,4,19.60202980041504,216.99996948242188,260.71917095461987,19.4301977,50.0197866
1749659447530023000,38.70502294921875,1,0.062151964753866196,1.6101362705230713,4,19.63457489013672,216.99996948242188,260.69572128727754,19.4300318,50.0196462
1749659448524616000,39.69961596679688,1,0.06177067011594772,1.611220121383667,4,19.651657104492188,217.99884033203125,261.3595597141988,19.4298635,50.0195064
1749659449526167000,40.7011669921875,1,0.06126972287893295,1.6144819259643555,4,19.75786781311035,217.9999237060547,261.96805877922,19.429693,50.0193671
1749659450530355500,41.70535546875,1,0.06190800294280052,1.6089180707931519,4,19.915096282958984,217.99989318847656,262.0882882314424,19.4295206,50.0192265
1749659451533142300,42.70814233398438,1,0.06691812723875046,1.6110104322433472,4,20.060396194458008,217.99989318847656,262.4550065761667,19.4293471,50.0190842
1749659452519025400,43.694025390625,1,0.044134315103292465,1.6101481914520264,4,20.23900604248047,217.00106811523438,262.8343262878641,19.429174,50.0189403
1749659453536290800,44.71129077148437,1,0.046617280691862106,1.6107197999954224,4,20.424907684326172,216.0010528564453,263.8367327186729,19.429002,50.0187923
1749659454529206000,45.7042060546875,1,0.0471268892288208,1.6113461256027222,4,20.624727249145508,215.0010986328125,264.74989298331514,19.4288361,50.0186413
1749659455528417500,46.70341748046875,1,0.07312631607055664,1.6082998514175415,4,20.828235626220703,213.00253295898438,265.14091113339634,19.4286754,50.018485
1749659456519223000,47.69422314453125,1,0.0649457797408104,1.6097379922866821,4,20.994131088256836,210.00428771972656,265.0981506670805,19.4285246,50.0183237
